order_number,toothbrush_type,order_date,customer_age,order_quantity,delivery_postcode,billing_postcode,is_first,dispatch_status,dispatch_date,delivery_status,delivery_date
BRU00008950,Toothbrush 2000,2022-12-18 23:04:24.577716000,59,4,BB53DN,DE557JJ,True,Order Received,,,
BRU00008762,Toothbrush 2000,2022-12-19 04:04:24.395714400,79,8,BS207PX,CM81BG,True,Order Received,,,
BRU00009334,Toothbrush 4000,2022-12-19 10:28:44.800173200,32,6,EN20BJ,CF398LW,True,Dispatched,2022-12-19 17:50:22.920818000,In Transit,2022-12-19 18:32:02.371215200
BRU00008699,Toothbrush 4000,2022-12-19 11:36:42.560664000,21,1,EX41QD,GL179LP,True,Dispatched,2022-12-19 18:50:14.099430000,In Transit,2022-12-19 19:33:10.027593600
BRU00009184,Toothbrush 2000,2022-12-18 13:21:29.223266400,90,8,BH76QS,B619JA,True,Order Confirmed,2022-12-18 14:30:02.940314400,,
BRU00009098,Toothbrush 2000,2022-12-18 12:51:27.872106400,89,3,BH88QR,CH620DG,True,Order Received,,,
BRU00008855,Toothbrush 2000,2022-12-18 10:58:25.314470400,84,7,HD59HF,DH63EB,True,Dispatched,2022-12-18 18:42:03.329132400,In Transit,2022-12-18 19:33:42.911791200
BRU00009148,Toothbrush 2000,2022-12-19 09:16:35.759289600,89,9,B262EN,BD109DD,True,Order Received,,,
BRU00009198,Toothbrush 2000,2022-12-18 22:57:34.379267200,76,6,GU149NB,CB28AY,True,Dispatched,2022-12-19 06:14:33.374675200,In Transit,2022-12-19 07:19:38.900040400
BRU00008693,Toothbrush 2000,2022-12-18 17:05:54.130276400,71,6,CW48EB,G718BU,True,Dispatched,2022-12-19 01:10:35.093014400,Unsuccessful,2022-12-20 00:05:26.791480400
BRU00008677,Toothbrush 4000,2022-12-19 07:16:42.420904800,16,1,HD96HY,HX26QS,True,Dispatched,2022-12-19 13:53:55.561032000,In Transit,2022-12-19 15:17:09.979056000
BRU00008946,Toothbrush 2000,2022-12-18 21:51:40.857304400,77,4,DN31EW,BB24QP,True,Order Received,,,
BRU00008901,Toothbrush 4000,2022-12-19 04:06:48.284425600,29,2,GU266LQ,GL103SX,True,Order Confirmed,2022-12-19 05:23:20.616642399,,
BRU00008759,Toothbrush 4000,2022-12-19 14:19:24.603233600,20,4,DE78RG,BB74JS,True,Dispatched,2022-12-19 22:24:54.717704000,In Transit,2022-12-19 23:26:42.131181200
BRU00009194,Toothbrush 2000,2022-12-19 03:45:33.084224400,81,8,EN35LE,DH87DA,True,Order Received,,,
BRU00008588,Toothbrush 4000,2022-12-18 19:34:31.132534400,17,9,DN48JF,B356BT,True,Order Received,,,
BRU00009122,Toothbrush 2000,2022-12-19 03:17:07.566880000,58,7,DL105EH,CO107ND,True,Order Received,,,
BRU00008882,Toothbrush 4000,2022-12-19 16:20:11.509580400,18,1,DL39QJ,GU266PG,True,Dispatched,2022-12-19 22:36:59.404024800,In Transit,2022-12-19 23:24:39.299151600
BRU00008902,Toothbrush 2000,2022-12-18 17:37:58.480789200,102,7,CH642XA,CM28PH,True,Order Confirmed,2022-12-18 18:25:38.637060000,,
BRU00008956,Toothbrush 4000,2022-12-19 18:09:29.213853600,41,2,CA48JY,AL108JR,True,Order Received,,,
BRU00009147,Toothbrush 2000,2022-12-18 13:06:02.786133600,82,5,CB235FL,EX204JA,True,Order Confirmed,2022-12-18 14:17:35.500470000,,
BRU00008610,Toothbrush 4000,2022-12-18 21:13:01.121956000,41,7,B389ES,EH125SG,True,Order Received,,,
BRU00008586,Toothbrush 4000,2022-12-18 12:28:05.110662000,26,4,IG76AA,B376TD,True,Order Confirmed,2022-12-18 13:33:16.188519600,,
BRU00009025,Toothbrush 4000,2022-12-20 04:23:23.826314800,31,8,DH70AP,HP11NP,True,Dispatched,2022-12-20 11:18:13.431888400,In Transit,2022-12-20 12:24:36.621587200
